rel,ext,status,oldBytes,newBytes,oldWidth,oldHeight,newWidth,newHeight,savingBytes,savingPct,note
反向大脑UI图/04游戏进行页面/正确箭头/正确箭头-下.png,.png,replaced,762567,544746,1254,1254,1024,1024,217821,28.56,resized long edge 1254->1024
反向大脑UI图/04游戏进行页面/生命/04-04心形.png,.png,replaced,769042,552987,1254,1254,1024,1024,216055,28.09,resized long edge 1254->1024
反向大脑UI图/04游戏进行页面/正确箭头/正确箭头-左.png,.png,replaced,725977,517015,1254,1254,1024,1024,208962,28.78,resized long edge 1254->1024
反向大脑UI图/04游戏进行页面/正确箭头/正确箭头-右.png,.png,replaced,727189,524822,1254,1254,1024,1024,202367,27.83,resized long edge 1254->1024
反向大脑UI图/04游戏进行页面/状态属性/10-02异常属性.png,.png,replaced,395616,196452,1536,384,1024,256,199164,50.34,resized long edge 1536->1024
反向大脑UI图/05游戏总结/05-02正确率图标.png,.png,replaced,558014,390558,1254,1254,1024,1024,167456,30.01,resized long edge 1254->1024
反向大脑UI图/05游戏总结/05-02最大连击图标.png,.png,replaced,556918,399000,1254,1254,1024,1024,157918,28.36,resized long edge 1254->1024
反向大脑UI图/05游戏总结/05-02正确次数图标.png,.png,replaced,497926,364143,1254,1254,1024,1024,133783,26.87,resized long edge 1254->1024
反向大脑UI图/05游戏总结/05-02最快反应图标.png,.png,replaced,399526,278595,1254,1254,1024,1024,120931,30.27,resized long edge 1254->1024
反向大脑UI图/04游戏进行页面/暂停/10-01返回首页.png,.png,replaced,244426,133225,1536,384,1024,256,111201,45.49,resized long edge 1536->1024
反向大脑UI图/05游戏总结/05返回主页.png,.png,replaced,220718,124340,1536,921,1024,614,96378,43.67,resized long edge 1536->1024
反向大脑UI图/04游戏进行页面/连击/04-01连击png.png,.png,replaced,368488,288646,1254,1254,1024,1024,79842,21.67,resized long edge 1254->1024
反向大脑UI图/04游戏进行页面/生命/04-04心形占位槽.png,.png,replaced,347403,270867,1254,1254,1024,1024,76536,22.03,resized long edge 1254->1024
反向大脑UI图/04游戏进行页面/暂停/04-03暂停图标png.png,.png,replaced,323039,273803,1254,1254,1024,1024,49236,15.24,resized long edge 1254->1024
